The start time,The end time,x0,y0,x1,y1,width,height
6305,7397,684,666,775,702,1438,784,
7930,9030,652,667,800,703,1438,784,
9651,10736,645,667,811,702,1438,784,
11386,12436,645,667,811,702,1438,784,
13305,14305,645,667,811,702,1438,784,
15662,17017,592,665,863,704,1438,784,
20615,22815,503,663,951,706,1438,784,
24473,28323,396,629,1066,710,1438,784,
28461,30711,396,629,1066,710,1438,784,
30911,32161,591,662,868,706,1438,784,
32311,33861,436,661,1023,709,1438,784,
36620,38520,436,661,1023,709,1438,784,
